Train_Loss	Train Loss X	Train Loss U	Test Loss	Test Acc.	Test GM.	
0.318284	0.159572	0.158712	0.234490	92.548099	0.919464	
0.316707	0.152251	0.164455	0.239094	92.341624	0.915911	
0.325364	0.162034	0.163330	0.241130	92.210230	0.914716	
0.310614	0.156886	0.153728	0.237897	92.210230	0.914296	
0.326384	0.163681	0.162703	0.236279	92.078836	0.912306	
0.316209	0.154012	0.162197	0.236941	92.219615	0.915595	
0.311012	0.162493	0.148519	0.236040	92.294697	0.916898	
0.341833	0.166180	0.175653	0.231793	92.322853	0.914994	
0.338728	0.159116	0.179612	0.230595	92.416706	0.915224	
0.342949	0.164155	0.178793	0.228519	92.369779	0.914163	
0.328326	0.155426	0.172900	0.227522	92.388550	0.916010	
0.332387	0.162234	0.170152	0.231331	92.200845	0.914386	
0.338889	0.158394	0.180494	0.232848	92.313468	0.915027	
0.338497	0.159996	0.178501	0.231592	92.238386	0.913969	
0.343495	0.163077	0.180418	0.232311	92.275927	0.913836	
0.338594	0.163360	0.175234	0.227109	92.369779	0.915676	
0.339728	0.154780	0.184948	0.230234	92.444862	0.915386	
0.318562	0.152368	0.166194	0.225671	92.529329	0.917514	
0.318685	0.160161	0.158524	0.222333	92.641952	0.918991	
0.322435	0.153013	0.169422	0.223494	92.651337	0.918931	
0.350937	0.166363	0.184574	0.225318	92.623182	0.917587	
0.343759	0.157927	0.185832	0.234124	92.285312	0.914675	
0.337295	0.153703	0.183592	0.227502	92.444862	0.913497	
0.334629	0.150490	0.184139	0.225188	92.632567	0.920129	
0.332984	0.159376	0.173608	0.224155	92.707649	0.920617	
0.339175	0.156700	0.182475	0.227631	92.548099	0.915424	
0.320912	0.153935	0.166977	0.227352	92.623182	0.916526	
0.314235	0.155279	0.158956	0.227707	92.632567	0.916222	
0.317663	0.160230	0.157433	0.227461	92.548099	0.917044	
0.316563	0.157007	0.159556	0.229313	92.538714	0.916390	
0.307126	0.147728	0.159398	0.231846	92.397935	0.916313	
0.329510	0.161954	0.167556	0.231779	92.360394	0.917992	
0.325684	0.149508	0.176176	0.228250	92.548099	0.921143	
0.339902	0.159263	0.180639	0.230855	92.426091	0.920615	
0.339615	0.159592	0.180024	0.237628	92.247771	0.916384	
0.325927	0.148499	0.177428	0.243290	92.275927	0.916809	
0.345552	0.160282	0.185270	0.234173	92.435476	0.917685	
0.335584	0.155244	0.180340	0.230427	92.407321	0.918111	
